State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.82518	1.84576	1.83467	1.84101	1.82043	1.82518	1.79985	1.79510	1.74603	1.68271	1.65263	1.60198	1.55924	1.55290	1.55449	1.55449	1.55132	1.53391	1.52916	1.52916	1.50858
2	0.44834	0.44743	0.44788	0.44811	0.44879	0.44834	0.44819	0.44796	0.44887	0.45106	0.45295	0.45484	0.45537	0.45681	0.45703	0.45688	0.45786	0.45817	0.45892	0.45998	0.46036
3	1.33831	1.34448	1.34266	1.34591	1.34662	1.34535	1.34243	1.33981	1.34203	1.35097	1.36000	1.35272	1.36293	1.36356	1.36791	1.37029	1.37266	1.37393	1.37132	1.36965	1.37614
4	3.63692	3.62350	3.58324	3.50271	3.61008	3.35509	3.38193	3.50271	3.39535	3.18063	3.08668	2.89880	2.77801	2.71091	2.68407	2.60355	2.50961	2.42909	2.41567	2.59013	2.46935
5	1.44060	1.44368	1.42829	1.46523	1.44060	1.47446	1.48985	1.51140	1.51140	1.52371	1.60990	1.57296	1.57296	1.56373	1.51140	1.48369	1.45291	1.42829	1.37596	1.34210	1.34825
6	1.72001	1.65344	1.71101	1.68582	1.77938	1.70201	1.78298	1.86214	1.82616	1.91072	1.86574	1.91611	1.91252	1.90532	1.86574	1.81536	1.73980	1.82616	1.88733	1.82256	1.81896
7	1.31312	1.43050	1.48185	1.48552	1.48185	1.52953	1.48185	1.47818	1.62857	1.47818	1.49652	1.58088	1.64324	1.59189	1.56621	1.64324	1.63590	1.51486	1.49285	1.64324	1.56988
8	1.39544	1.43939	1.29655	1.33501	1.31853	1.41742	1.59322	1.67013	1.57674	1.61519	1.56575	1.69211	1.65365	1.70310	1.67013	1.65915	1.60970	1.53279	1.53279	1.35698	1.47785
9	4.76716	4.58334	4.47917	4.39952	4.11153	3.93383	3.75613	3.53554	3.33947	3.20466	2.96569	2.96569	3.00858	3.06373	3.12500	3.05148	3.29045	3.18628	3.02084	3.11888	3.21692
10	4.16648	4.11297	3.81482	3.70014	3.86068	3.82246	3.74601	3.50902	3.33319	2.96623	2.75982	2.88978	2.68337	2.78275	2.76746	2.81333	2.74453	2.84391	3.18029	3.15735	3.14206
11	4.11729	4.09841	4.20228	4.07952	4.12674	4.27783	4.22117	4.26839	4.40059	4.43837	4.12674	3.97564	3.66401	3.52236	3.54125	3.84344	3.77733	3.85288	3.93787	3.77733	3.53181
12	1.20518	1.16665	1.27876	1.24022	1.22270	1.43291	1.35583	1.37335	1.42590	1.41889	1.33131	1.34182	1.29277	1.20869	1.21920	1.12460	1.09307	1.15964	1.15964	1.29277	1.24722
13	2.06712	1.88389	2.02704	2.04995	1.89534	1.87816	2.17019	2.30189	2.42214	2.22173	2.29044	2.55957	2.32480	2.38779	2.28472	2.26754	2.35343	2.24463	2.18737	2.17592	1.93542
