State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.21698	1.20021	1.21977	1.21278	1.18763	1.15270	1.11079	1.06747	1.05210	1.04652	1.05769	1.06887	1.10101	1.12057	1.14292	1.17785	1.19881	1.24492	1.29382	1.28963	1.27007
2	0.32866	0.32365	0.31872	0.31291	0.30697	0.29830	0.28515	0.27441	0.26032	0.25212	0.24885	0.24885	0.25318	0.25832	0.26533	0.27507	0.28508	0.29569	0.30484	0.31298	0.32052
3	1.40685	1.37387	1.32259	1.25371	1.16421	1.04027	0.89034	0.71729	0.58546	0.50567	0.47612	0.48367	0.52049	0.56499	0.62284	0.69605	0.79288	0.89691	0.99647	1.08044	1.15177
4	5.15278	5.68582	6.51501	6.98883	8.06676	9.04994	10.18710	10.88599	11.14659	10.60169	10.36478	10.55431	11.76255	12.79311	13.14847	13.30246	12.46143	11.09920	9.65406	8.38659	7.21389
5	1.20362	1.08951	0.95366	0.82868	0.77977	0.73087	0.67381	0.59773	0.55155	0.55426	0.54611	0.54883	0.54611	0.59230	0.65207	0.72000	0.85041	1.08679	1.52966	2.07305	2.83109
6	1.93581	2.01839	1.93423	1.94058	1.78177	1.60074	1.41653	1.22596	1.07986	0.99729	0.97347	0.97982	0.96552	1.00046	1.06716	1.20849	1.58962	2.12638	2.67266	2.90769	2.85370
7	1.29176	1.18493	1.25615	1.19464	1.24644	1.23349	1.10723	1.01981	0.89031	0.84823	0.75758	0.68635	0.70578	0.68635	0.64426	0.66369	0.72196	0.77376	0.78671	0.87413	1.04895
8	1.73600	1.83783	2.06574	2.15302	2.28880	2.45852	2.79311	3.00647	3.08891	2.42942	2.14332	2.14817	1.83298	1.66811	1.57112	1.65356	1.72630	1.85238	1.92511	1.91056	2.00270
9	5.22451	6.13853	7.86922	10.11911	13.48313	18.98888	26.23073	35.76573	45.61983	47.77778	49.60582	64.79260	64.47350	59.84932	50.24942	37.32335	26.34430	18.80500	13.72110	10.28677	7.91789
10	4.55475	5.23628	6.32942	8.32001	11.62643	15.43217	21.99777	29.86568	38.04399	48.31411	53.84729	37.19377	33.20583	30.91158	29.10318	25.35141	19.03549	13.44158	9.21072	6.39015	4.74369
11	8.96862	10.22722	11.26912	12.31935	12.29434	10.91904	8.26013	5.84294	4.05922	4.96775	4.62601	3.26738	3.77582	6.22635	12.93615	24.33863	33.61564	36.21621	34.48250	30.97340	26.63079
12	2.24192	2.51405	3.00572	3.84065	4.81472	6.45365	7.71222	8.14205	6.32995	4.41891	2.96862	2.30686	2.21719	2.42437	3.14488	3.73551	3.80663	3.29949	2.51714	2.17080	1.77808
13	1.80433	1.83971	1.79927	1.66787	1.40000	1.40000	1.31913	1.13213	1.05632	1.57689	1.27870	0.87942	0.72780	0.82888	0.80361	0.89458	1.04115	1.25343	1.38989	1.38989	1.34440
