State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.19637	2.81095	1.82042	0.88427	1.65280	1.05773	1.17807	0.82438
2	45.98642	0.08401	0.41121	0.68051	0.45300	0.24885	0.31697	1.42713
3	43.92549	0.34383	1.29212	1.24405	1.35990	0.47614	0.92831	0.67861
4	0.25907	34.08756	4.04206	1.00449	3.08701	10.36510	9.99440	0.70899
5	1.12949	0.30832	1.45475	2.27401	1.61007	0.54613	0.91604	0.09238
6	1.93245	0.28567	1.63038	1.52334	1.86593	0.97349	1.61796	0.35528
7	0.94789	0.12477	1.39443	1.46443	1.49668	0.75760	0.99552	0.30442
8	0.63285	0.44508	1.45094	1.40168	1.56591	2.14339	2.16797	0.26679
9	0.56741	57.37637	9.11411	1.81062	2.96600	49.60734	25.46532	0.17374
10	0.45479	63.41190	7.42985	1.32049	2.76010	53.84220	20.47185	0.43903
11	0.36818	2.74451	3.35403	2.10006	4.12717	4.62615	12.48045	0.12144
12	0.99240	1.58689	1.25453	0.94920	1.33145	2.96871	3.84593	0.52685
13	0.60719	1.23203	2.01518	1.19805	2.29068	1.27874	1.35374	0.74902
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
