State (Emission order)	H3k4me1StdAlnRep1	H3k27acStdAlnRep1	H3k9acStdAlnRep1	H3k4me2StdAlnRep1	H3k4me3StdAlnRep1	H2azStdAlnRep1	CtcfStdAlnRep1	Ezh239875AlnRep1	H3k9me3StdAlnRep1	H4k20me1StdAlnRep1
1	8.169417852072591E-4	5.168007468547815E-4	7.730974058710687E-4	1.1945889943647572E-4	0.001507220159569469	0.0010390666245495728	0.0028745037433112407	0.010235018974019891	0.21938975240841616	0.0020630455491801062
2	1.0050014541705024E-4	3.8665981966068995E-5	4.3414314211705386E-4	6.670400891063375E-5	9.732779340020198E-5	1.2092465158589659E-4	6.275069645694162E-4	0.005510746976372435	0.005880950452058054	0.0011395350338581937
3	9.228317778910679E-4	1.101871744061155E-4	0.0014678548665575367	1.2391722733969465E-4	2.965395407029117E-4	0.0040576824825563585	2.958292105415071E-8	0.012565554709177747	0.009611801599820526	0.0033592341270755216
4	0.016693726881884512	0.00998618004158932	0.022975239257112104	0.050375653392290054	0.08400693987888166	0.04960372987839544	0.03946996141763192	0.5561282924655744	0.26207436207787554	0.07469769091037935
5	0.05609096300158875	0.003058250067595294	0.0066923994001543766	0.010950700782624662	0.0010895509488854328	2.2870760969244652E-4	0.008019529626550968	0.013568616299667394	0.007809593062417313	0.19478079723176617
6	0.39115985573604656	0.02450264840337447	0.012965841228794385	0.08395519278010408	0.0030790253326039825	0.026870015970648895	0.010324100905793276	0.01959203017989315	0.02009714775133844	0.0110451951069461
7	0.6458855723512161	0.7794109648537131	0.19064353315451998	0.3717230653074607	0.00392827679470882	0.21755137639579264	0.038052652772152425	0.020673640583756866	0.021674200815994908	0.018945070691726962
8	0.8261412999281494	0.9773170843986514	0.7467443339437426	0.948206160553544	0.24615007628993943	0.5817665823997339	0.08923119822918685	0.030172674596094788	0.016724010256743995	0.02853326764442442
9	0.12201389656337719	0.7748312653352282	0.9619286013572947	0.8973908101835532	0.9899399882975435	0.7465025268638187	0.1338124261586216	0.009706204620951094	0.026837300804967795	0.01730492615989463
10	0.1942778814244796	0.02558007653602537	0.1848339108153963	0.7626200331675964	0.9226040472972354	0.6945945880769993	0.14216612091315703	0.08162124250346015	0.05500978467347769	0.00165897848084467
11	0.531519862867208	0.13273101785033878	0.20112513050939623	0.8179791095621206	0.3694377038138452	0.024928874603549242	0.040014725707953364	0.01782983899761386	0.012398976515815674	0.19365173293309373
12	0.3870529476608748	0.06250815140149397	0.05189621358456057	0.3638329677416404	0.009059217979551518	0.6823405468788185	0.08693657962027745	0.03446469681298005	0.021630379584136897	0.0028058994898703836
13	0.028816999758520735	0.0011815740478824715	0.03590525137649565	0.012130457219121874	0.0015719538192608604	0.0721728539550692	0.9209992339191104	0.024905782740846677	0.026235296468036958	0.012136595914398193
