13	10	E	-7164075.840730252	200
probinit	1	9.943416962040133E-54
probinit	2	0.9536582991692356
probinit	3	1.523230915945286E-135
probinit	4	0.04634170083076435
probinit	5	1.5074536886014644E-214
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0
probinit	13	0.0
transitionprobs	1	1	0.9169248643828285
transitionprobs	1	2	0.030766480509364345
transitionprobs	1	3	0.03918441950383492
transitionprobs	1	4	0.005742078068570988
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0029423092937169485
transitionprobs	1	7	8.659349642198988E-4
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	7.295166563642043E-4
transitionprobs	1	11	0.0
transitionprobs	1	12	8.43650768118371E-4
transitionprobs	1	13	0.00200074585298174
transitionprobs	2	1	0.0018864987616687811
transitionprobs	2	2	0.9959524769840573
transitionprobs	2	3	5.40022385822374E-4
transitionprobs	2	4	1.700187820050995E-4
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0
transitionprobs	2	7	0.0
transitionprobs	2	8	0.0
transitionprobs	2	9	3.820522914334301E-7
transitionprobs	2	10	1.429341393759812E-4
transitionprobs	2	11	2.713713744408666E-5
transitionprobs	2	12	2.065870119353486E-4
transitionprobs	2	13	0.001073942745399852
transitionprobs	3	1	0.002633248827742806
transitionprobs	3	2	6.314109067758917E-4
transitionprobs	3	3	0.9687414622665188
transitionprobs	3	4	4.641690612444759E-4
transitionprobs	3	5	5.125225246511437E-4
transitionprobs	3	6	0.012093395086072897
transitionprobs	3	7	9.489716856318245E-4
transitionprobs	3	8	4.838695857115469E-5
transitionprobs	3	9	2.2857447447762698E-5
transitionprobs	3	10	7.769870501222891E-4
transitionprobs	3	11	2.2026139852340454E-4
transitionprobs	3	12	0.006308519963763458
transitionprobs	3	13	0.006597806822933951
transitionprobs	4	1	0.05565743523467794
transitionprobs	4	2	0.025909166956358164
transitionprobs	4	3	0.06731725306818749
transitionprobs	4	4	0.807913734184382
transitionprobs	4	5	6.553971345103661E-5
transitionprobs	4	6	1.4847955851384953E-4
transitionprobs	4	7	2.362812712793286E-4
transitionprobs	4	8	1.1991628266305694E-4
transitionprobs	4	9	0.0
transitionprobs	4	10	0.03954500343468487
transitionprobs	4	11	6.711567608708673E-5
transitionprobs	4	12	3.0395975244706013E-6
transitionprobs	4	13	0.003017035022190653
transitionprobs	5	1	4.910475065800328E-5
transitionprobs	5	2	2.7608484800804185E-8
transitionprobs	5	3	0.017925334552931726
transitionprobs	5	4	1.036999241001615E-5
transitionprobs	5	5	0.956343211289821
transitionprobs	5	6	0.002436218930404158
transitionprobs	5	7	8.615823952518617E-4
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.020902435292977146
transitionprobs	5	12	0.0
transitionprobs	5	13	0.0014717151870613353
transitionprobs	6	1	0.0030074884633845013
transitionprobs	6	2	3.8163331966520793E-8
transitionprobs	6	3	0.2097192963911494
transitionprobs	6	4	5.30511420089298E-5
transitionprobs	6	5	0.0012302453864251534
transitionprobs	6	6	0.6430117658757918
transitionprobs	6	7	0.0820605138054798
transitionprobs	6	8	0.008336122517219009
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0013871737094916384
transitionprobs	6	11	0.012928002930640663
transitionprobs	6	12	0.03302943981254567
transitionprobs	6	13	0.005236861802531493
transitionprobs	7	1	0.002852795780609963
transitionprobs	7	2	0.0
transitionprobs	7	3	0.04189980002843992
transitionprobs	7	4	0.0
transitionprobs	7	5	7.782327833075474E-4
transitionprobs	7	6	0.2081346455956289
transitionprobs	7	7	0.5861205590107227
transitionprobs	7	8	0.15608131073688802
transitionprobs	7	9	0.0
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0
transitionprobs	7	12	0.002790084308759044
transitionprobs	7	13	0.0013425717556438703
transitionprobs	8	1	7.02006754270417E-5
transitionprobs	8	2	0.0
transitionprobs	8	3	0.0039014597133832565
transitionprobs	8	4	6.70071105249336E-5
transitionprobs	8	5	0.0
transitionprobs	8	6	0.029718993600204874
transitionprobs	8	7	0.23857994980137465
transitionprobs	8	8	0.6614591831970328
transitionprobs	8	9	0.010652930714022868
transitionprobs	8	10	0.0
transitionprobs	8	11	0.006471898555774091
transitionprobs	8	12	0.047713397101139254
transitionprobs	8	13	0.0013649795311162412
transitionprobs	9	1	2.5551147758157814E-5
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0017628227449636785
transitionprobs	9	4	0.0
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	0.012321200865389924
transitionprobs	9	9	0.8119672371386575
transitionprobs	9	10	0.09942868195820512
transitionprobs	9	11	0.058121934986368036
transitionprobs	9	12	0.01609868824681677
transitionprobs	9	13	2.7388291184115345E-4
transitionprobs	10	1	0.005437474467454346
transitionprobs	10	2	0.01234347172149152
transitionprobs	10	3	0.06893209337977663
transitionprobs	10	4	0.026246131829273458
transitionprobs	10	5	0.0
transitionprobs	10	6	0.006700635077518307
transitionprobs	10	7	0.0
transitionprobs	10	8	0.0
transitionprobs	10	9	0.12185061642836481
transitionprobs	10	10	0.655877738805965
transitionprobs	10	11	0.00582810228127224
transitionprobs	10	12	0.08782968658650069
transitionprobs	10	13	0.008954049422383054
transitionprobs	11	1	4.45359176557888E-5
transitionprobs	11	2	0.003693050717857726
transitionprobs	11	3	0.025718505269530546
transitionprobs	11	4	0.0
transitionprobs	11	5	0.06715895328629005
transitionprobs	11	6	0.08343923373232465
transitionprobs	11	7	0.0
transitionprobs	11	8	0.01192427154423291
transitionprobs	11	9	0.0811178921623167
transitionprobs	11	10	0.006768185422569745
transitionprobs	11	11	0.7193901948520216
transitionprobs	11	12	0.0
transitionprobs	11	13	7.451770952001563E-4
transitionprobs	12	1	0.0026123229246117056
transitionprobs	12	2	0.008216029964712155
transitionprobs	12	3	0.2513626156429518
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	0.07393980483680103
transitionprobs	12	7	0.0031078472632500424
transitionprobs	12	8	0.028209371548780154
transitionprobs	12	9	0.008913635440048324
transitionprobs	12	10	0.0388321846622381
transitionprobs	12	11	0.0
transitionprobs	12	12	0.5689612145247953
transitionprobs	12	13	0.015844973191811367
transitionprobs	13	1	0.008538233427863317
transitionprobs	13	2	0.07674288360458793
transitionprobs	13	3	0.4460921627542803
transitionprobs	13	4	0.0015650467862198772
transitionprobs	13	5	0.0031562478663070517
transitionprobs	13	6	0.020705378992635012
transitionprobs	13	7	0.0025644930426729894
transitionprobs	13	8	0.0013878120473859064
transitionprobs	13	9	3.164635725795181E-4
transitionprobs	13	10	0.006469538140000516
transitionprobs	13	11	4.3163316703385957E-4
transitionprobs	13	12	0.025294560918734492
transitionprobs	13	13	0.40673554567969916
emissionprobs	1	0	CtcfStdAlnRep1	0	0.9971254962566888
emissionprobs	1	0	CtcfStdAlnRep1	1	0.0028745037433112407
emissionprobs	1	1	Ezh239875AlnRep1	0	0.9897649810259802
emissionprobs	1	1	Ezh239875AlnRep1	1	0.010235018974019891
emissionprobs	1	2	H2azStdAlnRep1	0	0.9989609333754504
emissionprobs	1	2	H2azStdAlnRep1	1	0.0010390666245495728
emissionprobs	1	3	H3k27acStdAlnRep1	0	0.9994831992531452
emissionprobs	1	3	H3k27acStdAlnRep1	1	5.168007468547815E-4
emissionprobs	1	4	H3k4me1StdAlnRep1	0	0.9991830582147927
emissionprobs	1	4	H3k4me1StdAlnRep1	1	8.169417852072591E-4
emissionprobs	1	5	H3k4me2StdAlnRep1	0	0.9998805411005635
emissionprobs	1	5	H3k4me2StdAlnRep1	1	1.1945889943647572E-4
emissionprobs	1	6	H3k4me3StdAlnRep1	0	0.9984927798404305
emissionprobs	1	6	H3k4me3StdAlnRep1	1	0.001507220159569469
emissionprobs	1	7	H3k9acStdAlnRep1	0	0.9992269025941289
emissionprobs	1	7	H3k9acStdAlnRep1	1	7.730974058710687E-4
emissionprobs	1	8	H3k9me3StdAlnRep1	0	0.7806102475915838
emissionprobs	1	8	H3k9me3StdAlnRep1	1	0.21938975240841616
emissionprobs	1	9	H4k20me1StdAlnRep1	0	0.9979369544508199
emissionprobs	1	9	H4k20me1StdAlnRep1	1	0.0020630455491801062
emissionprobs	2	0	CtcfStdAlnRep1	0	0.9993724930354305
emissionprobs	2	0	CtcfStdAlnRep1	1	6.275069645694162E-4
emissionprobs	2	1	Ezh239875AlnRep1	0	0.9944892530236276
emissionprobs	2	1	Ezh239875AlnRep1	1	0.005510746976372435
emissionprobs	2	2	H2azStdAlnRep1	0	0.9998790753484141
emissionprobs	2	2	H2azStdAlnRep1	1	1.2092465158589659E-4
emissionprobs	2	3	H3k27acStdAlnRep1	0	0.9999613340180339
emissionprobs	2	3	H3k27acStdAlnRep1	1	3.8665981966068995E-5
emissionprobs	2	4	H3k4me1StdAlnRep1	0	0.9998994998545829
emissionprobs	2	4	H3k4me1StdAlnRep1	1	1.0050014541705024E-4
emissionprobs	2	5	H3k4me2StdAlnRep1	0	0.9999332959910894
emissionprobs	2	5	H3k4me2StdAlnRep1	1	6.670400891063375E-5
emissionprobs	2	6	H3k4me3StdAlnRep1	0	0.9999026722065998
emissionprobs	2	6	H3k4me3StdAlnRep1	1	9.732779340020198E-5
emissionprobs	2	7	H3k9acStdAlnRep1	0	0.999565856857883
emissionprobs	2	7	H3k9acStdAlnRep1	1	4.3414314211705386E-4
emissionprobs	2	8	H3k9me3StdAlnRep1	0	0.994119049547942
emissionprobs	2	8	H3k9me3StdAlnRep1	1	0.005880950452058054
emissionprobs	2	9	H4k20me1StdAlnRep1	0	0.9988604649661419
emissionprobs	2	9	H4k20me1StdAlnRep1	1	0.0011395350338581937
emissionprobs	3	0	CtcfStdAlnRep1	0	0.9999999704170789
emissionprobs	3	0	CtcfStdAlnRep1	1	2.958292105415071E-8
emissionprobs	3	1	Ezh239875AlnRep1	0	0.9874344452908224
emissionprobs	3	1	Ezh239875AlnRep1	1	0.012565554709177747
emissionprobs	3	2	H2azStdAlnRep1	0	0.9959423175174437
emissionprobs	3	2	H2azStdAlnRep1	1	0.0040576824825563585
emissionprobs	3	3	H3k27acStdAlnRep1	0	0.999889812825594
emissionprobs	3	3	H3k27acStdAlnRep1	1	1.101871744061155E-4
emissionprobs	3	4	H3k4me1StdAlnRep1	0	0.9990771682221089
emissionprobs	3	4	H3k4me1StdAlnRep1	1	9.228317778910679E-4
